objectid,lau115cd,lau115nm,year,region,population,predictedprevalence,percentageprevalence,Noqualifications,Percentagenoqualification,Level1qualifications,percentagelevel1,Level2qualifications,percentagelevel2,Apprenticeship,percentageapprenticeship,Level3qualifications,percentagelevel3,Level4qualificationsandabove,percentagelevel4andabove,Otherqualifications,percentageotherqualifications,weeklygrosspaymean
177,E07000148,Norwich,2025,"""East of England""",110805,970,0.88,25073,22.63,14129,12.75,15342,13.85,2858,2.58,16885,15.24,30722,27.73,5796,5.23,518.6
31,E06000031,Peterborough,2025,"""East of England""",144495,"1,287",0.89,36158,25.02,22288,15.42,23338,16.15,5037,3.49,15589,10.79,29245,20.24,12840,8.89,518.6
108,E07000075,Rochford,2025,"""East of England""",68271,511,0.75,16134,23.63,12132,17.77,12531,18.35,2956,4.33,8158,11.95,13659,20.01,2701,3.96,578.4
257,E07000243,Stevenage,2025,"""East of England""",66866,535,0.8,14390,21.52,12065,18.04,11941,17.86,2521,3.77,7889,11.8,14762,22.08,3298,4.93,575.9
109,E07000076,Tendring,2025,"""East of England""",115495,769,0.67,39616,34.3,17499,15.15,18751,16.24,4740,4.1,11002,9.53,18340,15.88,5547,4.8,472.5
34,E06000034,Thurrock,2025,"""East of England""",123407,"1,112",0.9,32643,26.45,22396,18.15,21639,17.53,4218,3.42,13483,10.93,21519,17.44,7509,6.08,572.1
110,E07000077,Uttlesford,2025,"""East of England""",63399,541,0.85,11232,17.72,8791,13.87,10919,17.22,2092,3.3,7594,11.98,20251,31.94,2520,3.97,681.7
133,E07000103,Watford,2025,"""East of England""",71693,603,0.84,12513,17.45,9501,13.25,10752,15,2104,2.93,8361,11.66,23082,32.2,5380,7.5,647.5
224,E07000206,Waveney,2025,"""East of England""",95369,663,0.7,28447,29.83,13550,14.21,15490,16.24,5196,5.45,11128,11.67,17052,17.88,4506,4.72,537.1
102,E07000069,"""Castle Point""",2030,"""East of England""",73142,489,0.67,21885,29.92,13177,18.02,12997,17.77,3393,4.64,7780,10.64,10693,14.62,3217,4.4,598.2
55,E06000056,"""Central Bedfordshire""",2030,"""East of England""",204602,"1,786",0.87,39644,19.38,30583,14.95,34714,16.97,9623,4.7,25869,12.64,55793,27.27,8376,4.09,619.6
62,E07000009,"""East Cambridgeshire""",2030,"""East of England""",67481,512,0.76,14127,20.93,8844,13.11,10556,15.64,2928,4.34,7700,11.41,19583,29.02,3743,5.55,616.7
256,E07000242,"""East Hertfordshire""",2030,"""East of England""",110139,879,0.8,18959,17.21,14893,13.52,18440,16.74,3481,3.16,13145,11.93,36867,33.47,4354,3.95,752.8
105,E07000072,"""Epping Forest""",2030,"""East of England""",101708,766,0.75,24360,23.95,15839,15.57,16544,16.27,3364,3.31,11261,11.07,25769,25.34,4571,4.49,667.3
219,E07000201,"""Forest Heath""",2030,"""East of England""",48684,524,1.08,12505,25.69,6597,13.55,6893,14.16,1961,4.03,5003,10.28,9325,19.15,6400,13.15,508.4
174,E07000145,"""Great Yarmouth""",2030,"""East of England""",79748,550,0.69,26164,32.81,12531,15.71,12846,16.11,3735,4.68,8418,10.56,11336,14.21,4718,5.92,521.3
175,E07000146,"""King's Lynn and West Norfolk""",2030,"""East of England""",122639,801,0.65,35909,29.28,17770,14.49,19850,16.19,4680,3.82,13464,10.98,23455,19.13,7511,6.12,"1,187.60"
221,E07000203,"""Mid Suffolk""",2030,"""East of England""",78907,594,0.75,17621,22.33,10963,13.89,13279,16.83,3247,4.11,9820,12.45,20864,26.44,3113,3.95,465.2
131,E07000099,"""North Hertfordshire""",2030,"""East of England""",102388,782,0.76,18416,17.99,13480,13.17,15758,15.39,3565,3.48,11632,11.36,35242,34.42,4295,4.19,529.2
176,E07000147,"""North Norfolk""",2030,"""East of England""",86830,532,0.61,23838,27.45,12236,14.09,14106,16.25,4087,4.71,9137,10.52,19326,22.26,4100,4.72,496.1
65,E07000012,"""South Cambridgeshire""",2030,"""East of England""",119342,918,0.77,18248,15.29,13275,11.12,17129,14.35,4643,3.89,13472,11.29,47852,40.1,4723,3.96,683.3
178,E07000149,"""South Norfolk""",2030,"""East of England""",101717,860,0.85,22953,22.57,13799,13.57,17362,17.07,4305,4.23,11687,11.49,27501,27.04,4110,4.04,507.6
33,E06000033,"""Southend-on-Sea""",2030,"""East of England""",140621,"1,114",0.79,34621,24.62,23075,16.41,24619,17.51,4161,2.96,16055,11.42,30691,21.83,7399,5.26,507.9
254,E07000240,"""St Albans""",2030,"""East of England""",110590,830,0.75,14268,12.9,11061,10,14763,13.35,3076,2.78,11518,10.42,51251,46.34,4653,4.21,601.9
222,E07000204,"""St Edmundsbury""",2030,"""East of England""",90683,524,0.58,20277,22.36,13260,14.62,15616,17.22,3565,3.93,10868,11.98,22278,24.57,4819,5.31,920.5
223,E07000205,"""Suffolk Coastal""",2030,"""East of England""",102401,658,0.64,21592,21.09,13784,13.46,17078,16.68,4221,4.12,11582,11.31,29678,28.98,4466,4.36,602.4
132,E07000102,"""Three Rivers""",2030,"""East of England""",69819,527,0.75,12261,17.56,9218,13.2,11045,15.82,2337,3.35,8037,11.51,23675,33.91,3246,4.65,571.7
255,E07000241,"""Welwyn Hatfield""",2030,"""East of England""",90369,820,0.91,15550,17.21,11791,13.05,13544,14.99,2866,3.17,14211,15.73,27123,30.01,5284,5.85,681.5
218,E07000200,Babergh,2030,"""East of England""",71821,501,0.7,16367,22.79,10385,14.46,12560,17.49,2818,3.92,8337,11.61,18539,25.81,2815,3.92,556.2
99,E07000066,Basildon,2030,"""East of England""",139198,"1,121",0.81,37084,26.64,25629,18.41,24568,17.65,4986,3.58,14961,10.75,25939,18.63,6031,4.33,505.4
54,E06000055,Bedford,2030,"""East of England""",125871,"1,033",0.82,25645,20.37,17313,13.75,19129,15.2,4939,3.92,14882,11.82,35417,28.14,8546,6.79,512.7
100,E07000067,Braintree,2030,"""East of England""",118098,862,0.73,26958,22.83,19524,16.53,21412,18.13,4604,3.9,14154,11.98,26212,22.2,5234,4.43,530.6
172,E07000143,Breckland,2030,"""East of England""",107507,807,0.75,30057,27.96,16104,14.98,18149,16.88,4276,3.98,11917,11.08,20046,18.65,6958,6.47,584.6
101,E07000068,Brentwood,2030,"""East of England""",60115,431,0.72,11651,19.38,8543,14.21,10328,17.18,1979,3.29,6867,11.42,18441,30.68,2306,3.84,645.8
173,E07000144,Broadland,2030,"""East of England""",103657,740,0.71,23744,22.91,15328,14.79,18098,17.46,5651,5.45,12388,11.95,24026,23.18,4422,4.27,814.7
128,E07000095,Broxbourne,2030,"""East of England""",74850,553,0.74,19122,25.55,13262,17.72,12871,17.2,2741,3.66,8401,11.22,14394,19.23,4059,5.42,591.3
61,E07000008,Cambridge,2030,"""East of England""",106007,894,0.84,12606,11.89,7294,6.88,9159,8.64,2024,1.91,17943,16.93,50169,47.33,6812,6.43,517.1
103,E07000070,Chelmsford,2030,"""East of England""",137003,"1,118",0.82,25844,18.86,20510,14.97,23744,17.33,4977,3.63,17085,12.47,39452,28.8,5391,3.93,520.7
104,E07000071,Colchester,2030,"""East of England""",141427,"1,326",0.94,27440,19.4,20294,14.35,23629,16.71,4772,3.37,19572,13.84,38412,27.16,7308,5.17,539.9
129,E07000096,Dacorum,2030,"""East of England""",115983,916,0.79,21768,18.77,17067,14.72,18714,16.14,4023,3.47,13410,11.56,35872,30.93,5129,4.42,661.3
63,E07000010,Fenland,2030,"""East of England""",78482,621,0.79,24523,31.25,12253,15.61,13323,16.98,3173,4.04,8151,10.39,11677,14.88,5382,6.86,625.8
106,E07000073,Harlow,2030,"""East of England""",65061,516,0.79,16948,26.05,12211,18.77,11167,17.16,2328,3.58,7282,11.19,11468,17.63,3657,5.62,534.9
130,E07000098,Hertsmere,2030,"""East of England""",79841,578,0.72,15502,19.42,11257,14.1,12601,15.78,2290,2.87,8950,11.21,24588,30.8,4653,5.83,638.1
