objectid,lau115cd,lau115nm,year,region,population,predictedprevalence,percentageautistic
167,E07000138,Lincoln,2020,"""East Midlands""",388315,664,0.17%
269,E08000012,Liverpool,2020,"""North West""",156445,"3,331",2.13%
32,E06000032,Luton,2020,"""East of England""",125476,"1,323",1.05%
139,E07000110,Maidstone,2020,"""South East""",50804,"1,004",1.98%
107,E07000074,Maldon,2020,"""East of England""",62219,359,0.58%
260,E08000003,Manchester,2020,"""North West""",405709,"3,865",0.95%
197,E07000174,Mansfield,2020,"""East Midlands""",85448,654,0.77%
35,E06000035,Medway,2020,"""South East""",210511,"1,676",0.80%
162,E07000133,Melton,2020,"""East Midlands""",41237,287,0.70%
205,E07000187,Mendip,2020,"""South West""",88882,639,0.72%
317,E09000024,Merton,2020,London,160840,"1,318",0.82%
2,E06000002,Middlesbrough,2020,"""North East""",110409,842,0.76%
318,E09000025,Newham,2020,London,238090,"2,623",1.10%
183,E07000154,Northampton,2020,"""East Midlands""",169056,"1,383",0.82%
56,E06000057,Northumberland,2020,"""North East""",262162,"1,793",0.68%
177,E07000148,Norwich,2020,"""East of England""",110805,953,0.86%
18,E06000018,Nottingham,2020,"""East Midlands""",250104,"2,305",0.92%
261,E08000004,Oldham,2020,"""North West""",174438,"1,394",0.80%
201,E07000178,Oxford,2020,"""South East""",126725,"1,078",0.85%
151,E07000122,Pendle,2020,"""North West""",71128,531,0.75%
31,E06000031,Peterborough,2020,"""East of England""",144495,"1,245",0.86%
26,E06000026,Plymouth,2020,"""South West""",211502,"1,636",0.77%
29,E06000029,Poole,2020,"""South West""",121986,793,0.65%
44,E06000044,Portsmouth,2020,"""South East""",167256,"1,462",0.87%
152,E07000123,Preston,2020,"""North West""",113422,911,0.80%
91,E07000051,Purbeck,2020,"""South West""",37678,396,1.05%
38,E06000038,Reading,2020,"""South East""",125582,"1,081",0.86%
319,E09000026,Redbridge,2020,London,216112,"1,954",0.90%
250,E07000236,Redditch,2020,"""West Midlands""",67656,502,0.74%
189,E07000166,Richmondshire,2020,Yorkshire and The Humber,42698,343,0.80%
262,E08000005,Rochdale,2020,"""North West""",166916,"1,320",0.79%
108,E07000075,Rochford,2020,"""East of England""",68271,503,0.74%
154,E07000125,Rossendale,2020,"""North West""",54811,421,0.77%
97,E07000064,Rother,2020,"""South East""",76359,484,0.63%
275,E08000018,Rotherham,2020,"""Yorkshire and the Humber""",208018,"1,551",0.75%
238,E07000220,Rugby,2020,"""West Midlands""",80689,639,0.79%
230,E07000212,Runnymede,2020,"""South East""",66653,558,0.84%
199,E07000176,Rushcliffe,2020,"""East Midlands""",90551,698,0.77%
125,E07000092,Rushmoor,2020,"""South East""",74854,609,0.81%
17,E06000017,Rutland,2020,"""East Midlands""",30683,228,0.74%
190,E07000167,Ryedale,2020,Yorkshire and The Humber,43200,301,0.70%
263,E08000006,Salford,2020,"""North West""",188780,"1,687",0.89%
284,E08000028,Sandwell,2020,"""West Midlands""",241829,"1,986",0.82%
191,E07000168,Scarborough,2020,Yorkshire and The Humber,91402,586,0.64%
206,E07000188,Sedgemoor,2020,"""South West""",93922,684,0.73%
271,E08000014,Sefton,2020,"""North West""",226435,"1,532",0.68%
192,E07000169,Selby,2020,Yorkshire and The Humber,68135,527,0.77%
140,E07000111,Sevenoaks,2020,"""South East""",92481,668,0.72%
276,E08000019,Sheffield,2020,"""Yorkshire and the Humber""",452014,"3,780",0.84%
50,E06000051,Shropshire,2020,"""West Midlands""",252979,"1,859",0.73%
39,E06000039,Slough,2020,"""South East""",106645,930,0.87%
285,E08000029,Solihull,2020,"""West Midlands""",167493,"1,216",0.73%
45,E06000045,Southampton,2020,"""South East""",195534,"1,749",0.89%
321,E09000028,Southwark,2020,London,234901,"2,312",0.98%
231,E07000213,Spelthorne,2020,"""South East""",78089,585,0.75%
215,E07000197,Stafford,2020,"""West Midlands""",108626,807,0.74%
257,E07000243,Stevenage,2020,"""East of England""",66866,539,0.81%
264,E08000007,Stockport,2020,"""North West""",229822,"1,684",0.73%
115,E07000082,Stroud,2020,"""South West""",92251,685,0.74%
280,E08000024,Sunderland,2020,"""North East""",227314,"1,650",0.73%
322,E09000029,Sutton,2020,London,152158,"1,236",0.81%
142,E07000113,Swale,2020,"""South East""",108539,877,0.81%
30,E06000030,Swindon,2020,"""South West""",167774,"1,385",0.83%
265,E08000008,Tameside,2020,"""North West""",176616,"1,349",0.76%
217,E07000199,Tamworth,2020,"""West Midlands""",61467,442,0.72%
233,E07000215,Tandridge,2020,"""South East""",66922,496,0.74%
85,E07000045,Teignbridge,2020,"""South West""",103738,734,0.71%
109,E07000076,Tendring,2020,"""East of England""",115495,748,0.65%
116,E07000083,Tewkesbury,2020,"""South West""",67358,540,0.80%
143,E07000114,Thanet,2020,"""South East""",108556,773,0.71%
34,E06000034,Thurrock,2020,"""East of England""",123407,"1,060",0.86%
27,E06000027,Torbay,2020,"""South West""",109290,742,0.68%
86,E07000046,Torridge,2020,"""South West""",53321,366,0.69%
266,E08000009,Trafford,2020,"""North West""",180754,"1,381",0.76%
110,E07000077,Uttlesford,2020,"""East of England""",63399,520,0.82%
292,E08000036,Wakefield,2020,"""Yorkshire and the Humber""",265797,"2,078",0.78%
286,E08000030,Walsall,2020,"""West Midlands""",213123,"1,663",0.78%
325,E09000032,Wandsworth,2020,London,255989,"2,253",0.88%
7,E06000007,Warrington,2020,"""North West""",163477,"1,265",0.77%
240,E07000222,Warwick,2020,"""West Midlands""",114051,906,0.79%
133,E07000103,Watford,2020,"""East of England""",71693,601,0.84%
224,E07000206,Waveney,2020,"""East of England""",95369,659,0.69%
234,E07000216,Waverley,2020,"""South East""",97478,689,0.71%
98,E07000065,Wealden,2020,"""South East""",122443,858,0.70%
185,E07000156,Wellingborough,2020,"""East Midlands""",60348,457,0.76%
326,E09000033,Westminster,2020,London,186812,"1,923",1.03%
267,E08000010,Wigan,2020,"""North West""",257825,"1,972",0.76%
53,E06000054,Wiltshire,2020,"""South West""",380013,"2,928",0.77%
127,E07000094,Winchester,2020,"""South East""",95110,707,0.74%
272,E08000015,Wirral,2020,"""North West""",260498,"1,812",0.70%
235,E07000217,Woking,2020,"""South East""",79185,599,0.76%
41,E06000041,Wokingham,2020,"""South East""",123010,"1,002",0.81%
287,E08000031,Wolverhampton,2020,"""West Midlands""",200047,"1,596",0.80%
251,E07000237,Worcester,2020,"""West Midlands""",80291,634,0.79%
247,E07000229,Worthing,2020,"""South East""",85971,627,0.73%
252,E07000238,Wychavon,2020,"""West Midlands""",97039,715,0.74%
60,E07000007,Wycombe,2020,"""South East""",136787,782,0.57%
157,E07000128,Wyre,2020,"""North West""",90467,598,0.66%
14,E06000014,York,2020,"""Yorkshire and The Humber""",166275,"1,351",0.81%
