objectid,lau115cd,lau115nm,region,year,predictedprevalence,% population autistic,population education,No qualifications,% no qualifications,Level 1 qualifications,% level 1 qualification,Level 2 qualifications,% level 2 qualifications,Apprenticeship,% Apprenticeship qualifications,Level 3 qualifications,% level 3 qualifications,Level 4 qualifications and above,% level 4 qualification,Other qualifications,% other qualifications,weekly gross pay mean
323,E09000030,"""Tower Hamlets""",London,2035,"2,935",3.21%,91483,66036,29.05%,35248,15.51%,36935,16.25%,11411,5.02%,27289,12.00%,41337,18.18%,9058,3.98%,462
145,E07000116,"""Tunbridge Wells""","""South East""",2035,686,0.70%,97867,14422,25.39%,7710,13.57%,8912,15.69%,5229,9.21%,7791,13.72%,10785,18.99%,1947,3.43%,549.5
203,E07000180,"""Vale of White Horse""","""South East""",2035,884,0.44%,203131,32485,28.72%,16211,14.33%,17221,15.22%,4428,3.91%,12923,11.42%,22416,19.82%,7438,6.58%,445.9
324,E09000031,"""Waltham Forest""",London,2035,"1,941",2.15%,90369,15915,10.61%,11075,7.38%,15916,10.61%,2304,1.54%,15920,10.61%,79584,53.04%,9338,6.22%,586.9
255,E07000241,"""Welwyn Hatfield""","""East of England""",2035,831,0.68%,122731,11955,17.42%,9609,14.00%,11442,16.67%,3058,4.46%,8559,12.47%,21308,31.05%,2693,3.92%,507.6
37,E06000037,"""West Berkshire""","""South East""",2035,849,1.90%,44652,21699,23.98%,12597,13.92%,14973,16.54%,3631,4.01%,11356,12.55%,22707,25.09%,3543,3.91%,519.1
87,E07000047,"""West Devon""",South West,2035,297,0.36%,83536,36728,23.77%,21465,13.89%,26049,16.86%,8085,5.23%,20952,13.56%,35250,22.82%,5974,3.87%,520.2
92,E07000052,"""West Dorset""","""South West""",2035,377,0.42%,90712,15054,17.65%,11324,13.27%,13461,15.78%,3352,3.93%,10513,12.32%,28076,32.91%,3532,4.14%,520.4
156,E07000127,"""West Lancashire""","""North West""",2035,619,0.84%,73753,30345,31.38%,15846,16.39%,15901,16.44%,4174,4.32%,11626,12.02%,14595,15.09%,4211,4.35%,579.9
171,E07000142,"""West Lindsey""","""East Midlands""",2035,510,0.60%,85312,57888,26.35%,31152,14.18%,34731,15.81%,9396,4.28%,26408,12.02%,48688,22.16%,11447,5.21%,430.6
204,E07000181,"""West Oxfordshire""","""South East""",2035,618,2.07%,29844,29720,19.15%,20105,12.95%,24086,15.52%,5852,3.77%,24412,15.73%,40951,26.38%,10098,6.51%,489.1
209,E07000191,"""West Somerset""","""South West""",2035,436,0.80%,54306,38943,23.80%,22314,13.64%,26507,16.20%,7989,4.88%,20079,12.27%,40881,24.98%,6932,4.24%,483.7
93,E07000053,"""Weymouth and Portland""","""South West""",2035,377,0.33%,115900,12606,11.89%,7294,6.88%,9159,8.64%,2024,1.91%,17943,16.93%,50169,47.33%,6812,6.43%,535.3
40,E06000040,"""Windsor and Maidenhead""","""South East""",2035,845,1.04%,81190,25844,18.86%,20510,14.97%,23744,17.33%,4977,3.63%,17085,12.47%,39452,28.80%,5391,3.93%,522
253,E07000239,"""Wyre Forest""","""West Midlands""",2035,585,1.16%,50579,27440,19.40%,20294,14.35%,23629,16.71%,4772,3.37%,19572,13.84%,38412,27.16%,7308,5.17%,533.1
241,E07000223,Adur,"""South East""",2035,355,0.44%,80155,99237,22.43%,59206,13.38%,76782,17.36%,20102,4.54%,57917,13.09%,110518,24.99%,18570,4.20%,700.2
66,E07000026,Allerdale,"""North West""",2035,507,0.40%,126164,55736,22.99%,31158,12.85%,33389,13.77%,4715,1.94%,25557,10.54%,69627,28.72%,22283,9.19%,473.4
242,E07000224,Arun,"""South East""",2035,891,0.92%,96698,21980,23.59%,12775,13.71%,14737,15.81%,4240,4.55%,11999,12.88%,23601,25.33%,3854,4.14%,577.7
193,E07000170,Ashfield,"""East Midlands""",2035,816,0.87%,93411,12461,18.05%,9158,13.27%,11275,16.33%,3165,4.58%,8340,12.08%,21982,31.84%,2653,3.84%,574.2
134,E07000105,Ashford,"""South East""",2035,805,1.12%,71821,27723,25.81%,17054,15.88%,17469,16.27%,4098,3.82%,12269,11.42%,22152,20.63%,6631,6.17%,450.5
218,E07000200,Babergh,"""East of England""",2035,497,0.18%,282152,35352,14.24%,21169,8.53%,24408,9.83%,2640,1.06%,23988,9.66%,115758,46.62%,24985,10.06%,524.5
296,E09000003,Barnet,London,2035,"2,664",1.41%,188335,142481,23.21%,77294,12.59%,86614,14.11%,22893,3.73%,90497,14.74%,165429,26.94%,28784,4.69%,505.4
273,E08000016,Barnsley,"""Yorkshire and the Humber""",2035,"1,498",1.08%,139198,36953,23.62%,22813,14.58%,22720,14.52%,5151,3.29%,17332,11.08%,34814,22.25%,16662,10.65%,547.3
99,E07000066,Basildon,"""East of England""",2035,"1,135",1.22%,92702,93765,23.11%,44981,11.09%,48749,12.02%,6902,1.70%,65100,16.05%,117243,28.90%,28969,7.14%,497.2
194,E07000171,Bassetlaw,"""East Midlands""",2035,688,0.55%,125871,51620,29.59%,25521,14.63%,27578,15.81%,7325,4.20%,20422,11.71%,32458,18.61%,9514,5.45%,471.7
54,E06000055,Bedford,"""East of England""",2035,"1,044",0.57%,184431,20031,28.16%,9477,13.32%,10758,15.12%,3404,4.79%,8914,12.53%,14392,20.23%,4152,5.84%,430.2
297,E09000004,Bexley,London,2035,"1,555",0.19%,828363,26601,23.45%,14311,12.62%,16410,14.47%,4380,3.86%,17171,15.14%,27930,24.62%,6619,5.84%,485.4
281,E08000025,Birmingham,"""West Midlands""",2035,"7,532",9.87%,76334,47906,28.70%,24521,14.69%,27351,16.39%,6122,3.67%,19597,11.74%,32371,19.39%,9048,5.42%,471.3
158,E07000129,Blaby,"""East Midlands""",2035,681,0.58%,116699,13130,23.96%,7504,13.69%,9068,16.54%,2201,4.02%,7146,13.04%,13776,25.13%,1986,3.62%,536.3
9,E06000009,Blackpool,"""North West""",2035,776,1.25%,62192,51175,27.11%,26189,13.87%,29161,15.45%,6337,3.36%,23870,12.64%,42103,22.30%,9945,5.27%,526
73,E07000033,Bolsover,"""East Midlands""",2035,500,0.23%,219710,56921,25.14%,31674,13.99%,37522,16.57%,8810,3.89%,28214,12.46%,54490,24.06%,8804,3.89%,518.8
258,E08000001,Bolton,"""North West""",2035,"1,691",3.17%,53275,47430,20.64%,30962,13.47%,36785,16.01%,9276,4.04%,27896,12.14%,68506,29.81%,8967,3.90%,590.2
165,E07000136,Boston,"""East Midlands""",2035,465,0.30%,155224,49547,28.05%,28347,16.05%,30600,17.33%,7886,4.47%,21371,12.10%,30994,17.55%,7871,4.46%,472.2
28,E06000028,Bournemouth,"""South West""",2035,781,0.20%,400121,33573,18.57%,22490,12.44%,28590,15.82%,6165,3.41%,21078,11.66%,61051,33.78%,7807,4.32%,648.8
288,E08000032,Bradford,"""Yorkshire and the Humber""",2035,"3,179",2.69%,118098,33815,20.68%,23846,14.59%,27000,16.52%,6699,4.10%,20593,12.60%,44870,27.45%,6654,4.07%,551.4
100,E07000067,Braintree,"""East of England""",2035,852,0.79%,107507,70486,27.34%,39403,15.28%,44174,17.13%,12135,4.71%,31368,12.17%,50374,19.54%,9885,3.83%,516.8
