objectid,lau115cd,lau115nm,year,region,population,predictedprevalence,percentageprevalence,Noqualifications,Percentagenoqualification,Level1qualifications,percentagelevel1,Level2qualifications,percentagelevel2,Apprenticeship,percentageapprenticeship,Level3qualifications,percentagelevel3,Level4qualificationsandabove,percentagelevel4andabove,Otherqualifications,percentageotherqualifications,weeklygrosspaymean
170,E07000140,"""South Holland""",2040,"""East Midlands""",73354,581,0.79,22628,30.85,11195,15.26,12070,16.45,2710,3.69,7354,10.03,11586,15.79,5811,7.92,473.6
71,E07000141,"""South Kesteven""",2040,"""East Midlands""",109085,749,0.69,23608,21.64,15098,13.84,18733,17.17,5007,4.59,13474,12.35,27974,25.64,5191,4.76,550.9
202,E07000155,"""South Northamptonshire""",2040,"""East Midlands""",68624,592,0.86,11955,17.42,9609,14,11442,16.67,3058,4.46,8559,12.47,21308,31.05,2693,3.92,539.7
204,E07000142,"""West Lindsey""",2040,"""East Midlands""",73753,515,0.7,16963,23,10217,13.85,12217,16.56,3796,5.15,8796,11.93,18642,25.28,3122,4.23,520.4
134,E07000170,Ashfield,2040,"""East Midlands""",96698,831,0.86,30345,31.38,15846,16.39,15901,16.44,4174,4.32,11626,12.02,14595,15.09,4211,4.35,500.1
54,E07000171,Bassetlaw,2040,"""East Midlands""",92702,696,0.75,26393,28.47,13513,14.58,15245,16.45,3847,4.15,10453,11.28,18761,20.24,4490,4.84,562.5
9,E07000129,Blaby,2040,"""East Midlands""",76334,703,0.92,16964,22.22,11097,14.54,12257,16.06,4360,5.71,9378,12.29,18988,24.87,3290,4.31,531.8
258,E07000033,Bolsover,2040,"""East Midlands""",62192,504,0.81,20455,32.89,9520,15.31,10195,16.39,2308,3.71,7064,11.36,9853,15.84,2797,4.5,430.6
28,E07000136,Boston,2040,"""East Midlands""",53275,473,0.89,17421,32.7,7705,14.46,8126,15.25,1745,3.28,4954,9.3,8060,15.13,5264,9.88,489.1
146,E07000172,Broxtowe,2040,"""East Midlands""",90938,733,0.81,21031,23.13,11721,12.89,13547,14.9,4079,4.49,11046,12.15,25678,28.24,3836,4.22,648.7
103,E07000130,Charnwood,2040,"""East Midlands""",137878,"1,359",0.99,28265,20.5,16740,12.14,19685,14.28,6586,4.78,23470,17.02,36916,26.77,6216,4.51,522
243,E07000034,Chesterfield,2040,"""East Midlands""",85595,602,0.7,23618,27.59,12252,14.31,14567,17.02,3441,4.02,10342,12.08,17994,21.02,3381,3.95,603.8
51,E07000150,Corby,2040,"""East Midlands""",48637,548,1.13,13439,27.63,8405,17.28,8330,17.13,2005,4.12,5393,11.09,7254,14.91,3811,7.84,700.2
15,E07000151,Daventry,2040,"""East Midlands""",63031,579,0.92,11918,18.91,9337,14.81,10742,17.04,2762,4.38,7416,11.77,18158,28.81,2698,4.28,630.3
274,E06000015,Derby,2040,"""East Midlands""",198076,"1,566",0.79,47731,24.1,26294,13.27,28681,14.48,9793,4.94,25838,13.04,47955,24.21,11784,5.95,584.6
81,E07000036,Erewash,2040,"""East Midlands""",91948,680,0.74,23808,25.89,14091,15.32,15197,16.53,4851,5.28,11350,12.34,19015,20.68,3636,3.95,600.8
